iter	Passed	Remaining
0	2	204
1	3	181
2	5	169
3	6	157
4	8	155
5	9	155
6	11	156
7	13	154
8	15	152
9	16	151
10	18	151
11	20	151
12	22	150
13	24	147
14	25	145
15	27	143
16	29	141
17	30	140
18	32	137
19	33	135
20	35	133
21	37	131
22	38	129
23	40	127
24	41	125
25	43	123
26	45	122
27	46	119
28	48	118
29	49	116
30	51	114
31	53	112
32	54	111
33	56	110
34	58	108
35	60	106
36	61	105
37	63	103
38	64	101
39	66	99
40	67	97
41	68	94
42	70	93
43	72	91
44	73	90
45	75	88
46	76	86
47	78	85
48	80	83
49	81	81
50	83	80
51	84	78
52	86	76
53	88	75
54	89	73
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	97	62
61	99	60
62	100	59
63	102	57
64	104	56
65	105	54
66	107	52
67	108	51
68	110	49
69	111	47
70	113	46
71	114	44
72	116	42
73	117	41
74	119	39
75	121	38
76	123	36
77	124	35
78	125	33
79	127	31
80	128	30
81	130	28
82	132	27
83	133	25
84	135	23
85	136	22
86	138	20
87	139	19
88	141	17
89	142	15
90	144	14
91	146	12
92	147	11
93	149	9
94	150	7
95	152	6
96	153	4
97	155	3
98	156	1
99	157	0
