iter	Passed	Remaining
0	153	153399
1	155	77691
2	157	52357
3	159	39697
4	161	32131
5	163	27056
6	164	23377
7	166	20640
8	168	18561
9	170	16860
10	172	15478
11	173	14322
12	175	13323
13	177	12477
14	178	11748
15	180	11103
16	182	10554
17	184	10054
18	185	9597
19	187	9195
20	189	8822
21	190	8485
22	192	8178
23	194	7890
24	195	7630
25	197	7397
26	199	7181
27	201	6987
28	203	6799
29	204	6624
30	206	6455
31	208	6300
32	209	6152
33	211	6017
34	213	5897
35	215	5773
36	217	5653
37	218	5539
38	220	5429
39	221	5326
40	223	5229
41	225	5143
42	227	5061
43	229	4980
44	230	4899
45	232	4824
46	234	4748
47	235	4676
48	237	4606
49	238	4540
50	240	4483
51	242	4427
52	244	4369
53	246	4313
54	247	4258
55	249	4205
56	250	4151
57	252	4101
58	254	4054
59	256	4013
60	257	3970
61	259	3929
62	261	3886
63	262	3843
64	264	3803
65	265	3762
66	267	3725
67	269	3687
68	271	3661
69	273	3631
70	275	3600
71	277	3572
72	279	3544
73	281	3516
74	282	3489
75	284	3461
76	286	3432
77	288	3405
78	289	3380
79	291	3357
80	293	3331
81	295	3308
82	296	3275
83	298	3251
84	299	3228
85	301	3206
86	303	3184
87	305	3161
88	306	3139
89	308	3119
90	310	3097
91	311	3077
92	313	3057
93	315	3040
94	317	3020
95	318	2999
96	320	2979
97	321	2960
98	323	2941
99	324	2924
100	326	2906
101	328	2890
102	330	2876
103	332	2861
104	333	2845
105	335	2829
106	337	2814
107	339	2800
108	340	2785
109	342	2771
110	344	2759
111	346	2745
112	347	2731
113	349	2717
114	351	2702
115	352	2688
116	354	2672
117	355	2658
118	357	2643
119	358	2631
120	360	2619
121	362	2605
122	363	2594
123	365	2580
124	367	2569
125	368	2558
126	370	2545
127	372	2534
128	374	2525
129	375	2515
130	377	2505
131	379	2494
132	381	2484
133	382	2474
134	384	2463
135	386	2452
136	387	2441
137	389	2433
138	391	2423
139	392	2413
140	394	2403
141	395	2391
142	397	2381
143	398	2371
144	400	2362
145	402	2352
146	404	2345
147	405	2336
148	407	2327
149	409	2318
150	410	2310
151	412	2300
152	414	2292
153	415	2283
154	417	2274
155	419	2267
156	420	2259
157	422	2251
158	424	2242
159	425	2234
160	426	2223
161	428	2214
162	429	2207
163	431	2198
164	432	2190
165	434	2184
166	436	2178
167	438	2170
168	439	2161
169	441	2155
170	443	2149
171	444	2141
172	446	2134
173	448	2128
174	450	2122
175	452	2117
176	453	2110
177	455	2104
178	457	2097
179	459	2091
180	461	2087
181	463	2081
182	465	2076
183	467	2071
184	468	2065
185	470	2059
186	472	2054
187	474	2048
188	476	2043
189	478	2038
190	480	2034
191	482	2029
192	483	2023
193	485	2018
194	487	2012
195	489	2006
196	491	2002
197	492	1996
198	495	1993
199	496	1987
200	498	1982
201	500	1976
202	502	1971
203	503	1966
204	505	1962
205	508	1958
206	510	1955
207	512	1950
208	514	1945
209	515	1939
210	517	1934
211	519	1929
212	520	1923
213	522	1918
214	524	1914
215	526	1910
216	528	1906
217	530	1901
218	532	1897
219	533	1892
220	535	1887
221	537	1882
222	540	1882
223	542	1879
224	544	1874
225	545	1869
226	547	1864
227	549	1861
228	552	1858
229	554	1855
230	556	1851
231	557	1846
232	559	1841
233	561	1836
234	562	1832
235	564	1827
236	566	1823
237	568	1819
238	570	1816
239	572	1811
240	573	1806
241	575	1802
242	577	1798
243	578	1793
244	580	1790
245	583	1787
246	584	1783
247	586	1779
248	588	1775
249	590	1770
250	591	1765
251	593	1761
252	595	1757
253	597	1753
254	598	1749
255	600	1745
256	602	1742
257	604	1737
258	605	1733
259	607	1729
260	609	1725
261	611	1722
262	613	1718
263	614	1713
264	616	1710
265	618	1706
266	620	1703
267	621	1698
268	623	1694
269	625	1690
270	627	1687
271	629	1683
272	630	1680
273	632	1675
274	634	1671
275	635	1667
276	637	1663
277	639	1660
278	641	1656
279	642	1652
280	644	1649
281	646	1645
282	648	1641
283	649	1637
284	651	1633
285	652	1630
286	654	1626
287	656	1623
288	658	1619
289	660	1616
290	662	1612
291	663	1609
292	665	1605
293	667	1601
294	668	1598
295	671	1596
296	672	1592
297	674	1588
298	676	1585
299	677	1581
300	679	1578
301	681	1574
302	683	1571
303	684	1568
304	686	1564
305	688	1561
306	689	1557
307	691	1553
308	693	1550
309	694	1546
310	696	1543
311	698	1539
312	701	1539
313	702	1535
314	704	1532
315	706	1528
316	707	1525
317	709	1522
318	711	1518
319	712	1514
320	714	1511
321	716	1508
322	717	1504
323	719	1501
324	721	1497
325	722	1494
326	724	1490
327	725	1487
328	727	1483
329	729	1480
330	731	1477
331	732	1474
332	734	1470
333	736	1467
334	737	1464
335	739	1461
336	741	1457
337	742	1454
338	744	1452
339	746	1448
340	747	1445
341	749	1441
342	751	1438
343	752	1435
344	754	1431
345	756	1429
346	758	1427
347	760	1424
348	762	1421
349	763	1418
350	765	1415
351	767	1412
352	768	1409
353	770	1405
354	772	1403
355	774	1400
356	775	1397
357	777	1394
358	779	1391
359	781	1388
360	782	1385
361	784	1382
362	786	1379
363	788	1377
364	790	1375
365	792	1372
366	793	1369
367	795	1366
368	797	1363
369	799	1360
370	800	1358
371	803	1355
372	804	1353
373	806	1350
374	808	1347
375	810	1344
376	812	1342
377	813	1339
378	815	1336
379	817	1334
380	819	1331
381	821	1328
382	822	1325
383	824	1322
384	826	1319
385	827	1316
386	829	1313
387	831	1311
388	833	1308
389	835	1306
390	836	1303
391	838	1300
392	840	1298
393	842	1295
394	843	1292
395	845	1289
396	846	1286
397	848	1283
398	850	1281
399	852	1278
400	854	1276
401	855	1273
402	857	1270
403	859	1268
404	861	1265
405	863	1263
406	864	1260
407	866	1257
408	868	1254
409	869	1251
410	871	1248
411	872	1245
412	874	1242
413	876	1239
414	877	1237
415	879	1234
416	881	1232
417	882	1229
418	884	1226
419	886	1223
420	887	1221
421	889	1218
422	892	1216
423	894	1214
424	895	1211
425	897	1209
426	898	1206
427	900	1203
428	902	1200
429	903	1198
430	905	1195
431	907	1193
432	909	1190
433	910	1187
434	912	1185
435	913	1182
436	915	1179
437	917	1176
438	919	1174
439	920	1171
440	922	1169
441	924	1166
442	925	1164
443	927	1161
444	929	1158
445	930	1155
446	932	1153
447	934	1151
448	937	1149
449	938	1147
450	940	1144
451	941	1142
452	943	1139
453	945	1136
454	946	1134
455	948	1131
456	950	1129
457	952	1127
458	954	1124
459	956	1122
460	957	1120
461	959	1117
462	961	1114
463	963	1112
464	965	1110
465	967	1108
466	969	1106
467	971	1104
468	973	1101
469	974	1099
470	976	1096
471	978	1094
472	980	1092
473	995	1104
474	997	1102
475	999	1100
476	1000	1097
477	1002	1094
478	1004	1092
479	1005	1089
480	1007	1087
481	1009	1084
482	1011	1082
483	1013	1080
484	1015	1077
485	1016	1075
486	1018	1072
487	1020	1070
488	1022	1068
489	1023	1065
490	1025	1063
491	1027	1060
492	1029	1058
493	1031	1056
494	1032	1053
495	1034	1051
496	1035	1048
497	1037	1046
498	1041	1045
499	1042	1042
500	1044	1040
501	1046	1037
502	1047	1035
503	1049	1032
504	1051	1030
505	1053	1028
506	1055	1026
507	1057	1024
508	1059	1022
509	1061	1020
510	1064	1018
511	1068	1017
512	1074	1019
513	1079	1020
514	1082	1019
515	1086	1019
516	1088	1017
517	1090	1014
518	1092	1012
519	1094	1010
520	1096	1008
521	1099	1006
522	1103	1006
523	1106	1005
524	1108	1003
525	1111	1001
526	1113	999
527	1115	997
528	1119	996
529	1120	994
530	1123	992
531	1125	989
532	1127	988
533	1130	986
534	1133	985
535	1135	982
536	1137	980
537	1139	978
538	1140	975
539	1142	973
540	1145	971
541	1147	969
542	1148	966
543	1162	974
544	1166	974
545	1168	971
546	1170	969
547	1172	967
548	1174	965
549	1178	964
550	1180	962
551	1182	959
552	1187	959
553	1190	958
554	1192	956
555	1196	955
556	1198	953
557	1200	951
558	1203	949
559	1205	946
560	1207	945
561	1209	942
562	1211	940
563	1213	937
564	1215	935
565	1217	933
566	1218	930
567	1222	929
568	1224	927
569	1226	924
570	1228	922
571	1229	920
572	1231	917
573	1233	915
574	1238	915
575	1240	913
576	1242	910
577	1244	908
578	1245	905
579	1247	903
580	1249	901
581	1252	899
582	1254	897
583	1257	895
584	1258	893
585	1260	890
586	1262	888
587	1264	886
588	1267	884
589	1269	881
590	1271	879
591	1272	877
592	1274	874
593	1276	872
594	1279	871
595	1281	868
596	1283	866
597	1285	864
598	1287	861
599	1288	859
600	1290	856
601	1292	854
602	1296	853
603	1298	851
604	1300	848
605	1302	846
606	1304	844
607	1305	842
608	1307	839
609	1311	838
610	1313	836
611	1315	834
612	1317	831
613	1319	829
614	1321	827
615	1323	825
616	1326	823
617	1327	820
618	1329	818
619	1331	816
620	1333	813
621	1336	811
622	1340	811
623	1342	809
624	1344	806
625	1346	804
626	1348	802
627	1350	800
628	1353	798
629	1356	796
630	1358	794
631	1360	792
632	1362	790
633	1364	787
634	1366	785
635	1368	783
636	1370	780
637	1372	778
638	1374	776
639	1376	774
640	1378	771
641	1380	769
642	1382	767
643	1384	765
644	1386	762
645	1387	760
646	1389	758
647	1391	755
648	1393	753
649	1395	751
650	1397	749
651	1399	746
652	1401	744
653	1403	742
654	1405	740
655	1407	738
656	1410	736
657	1412	734
658	1414	732
659	1416	729
660	1418	727
661	1420	725
662	1422	722
663	1423	720
664	1425	718
665	1428	716
666	1430	714
667	1432	712
668	1434	709
669	1436	707
670	1437	704
671	1439	702
672	1441	700
673	1443	698
674	1445	696
675	1447	693
676	1449	691
677	1450	689
678	1452	686
679	1453	684
680	1455	681
681	1458	679
682	1459	677
683	1461	675
684	1463	672
685	1465	670
686	1466	668
687	1468	665
688	1469	663
689	1472	661
690	1474	659
691	1475	656
692	1477	654
693	1479	652
694	1481	649
695	1482	647
696	1484	645
697	1486	643
698	1488	641
699	1490	638
700	1492	636
701	1493	634
702	1495	631
703	1496	629
704	1498	627
705	1501	625
706	1503	623
707	1505	620
708	1507	618
709	1508	616
710	1510	613
711	1512	611
712	1514	609
713	1516	607
714	1518	605
715	1520	602
716	1522	600
717	1524	598
718	1526	596
719	1528	594
720	1530	592
721	1532	590
722	1534	587
723	1535	585
724	1537	583
725	1540	581
726	1542	579
727	1545	577
728	1547	575
729	1549	572
730	1550	570
731	1552	568
732	1554	566
733	1556	563
734	1558	561
735	1561	559
736	1563	557
737	1565	555
738	1566	553
739	1568	551
740	1570	548
741	1572	546
742	1573	544
743	1576	542
744	1578	540
745	1580	538
746	1581	535
747	1583	533
748	1585	531
749	1587	529
750	1589	527
751	1591	525
752	1593	522
753	1595	520
754	1597	518
755	1598	515
756	1600	513
757	1601	511
758	1603	509
759	1606	507
760	1607	505
761	1609	502
762	1611	500
763	1613	498
764	1614	496
765	1616	493
766	1618	491
767	1620	489
768	1622	487
769	1624	485
770	1626	482
771	1627	480
772	1629	478
773	1631	476
774	1633	474
775	1635	472
776	1637	469
777	1639	467
778	1640	465
779	1642	463
780	1644	461
781	1646	458
782	1648	456
783	1650	454
784	1652	452
785	1653	450
786	1655	448
787	1657	445
788	1658	443
789	1660	441
790	1662	439
791	1664	437
792	1666	434
793	1667	432
794	1669	430
795	1671	428
796	1673	426
797	1675	424
798	1677	421
799	1680	420
800	1682	417
801	1684	415
802	1685	413
803	1687	411
804	1689	409
805	1691	407
806	1692	404
807	1694	402
808	1696	400
809	1698	398
810	1700	396
811	1702	394
812	1703	391
813	1705	389
814	1707	387
815	1709	385
816	1712	383
817	1713	381
818	1715	379
819	1717	376
820	1719	374
821	1722	372
822	1734	372
823	1736	370
824	1740	369
825	1742	367
826	1744	364
827	1745	362
828	1747	360
829	1749	358
830	1751	356
831	1753	354
832	1755	351
833	1756	349
834	1758	347
835	1760	345
836	1761	343
837	1763	340
838	1765	338
839	1766	336
840	1768	334
841	1770	332
842	1772	330
843	1773	327
844	1775	325
845	1777	323
846	1779	321
847	1780	319
848	1782	316
849	1784	314
850	1785	312
851	1787	310
852	1789	308
853	1791	306
854	1793	304
855	1794	301
856	1796	299
857	1798	297
858	1800	295
859	1802	293
860	1804	291
861	1805	289
862	1807	286
863	1809	284
864	1811	282
865	1813	280
866	1814	278
867	1816	276
868	1818	274
869	1820	271
870	1821	269
871	1823	267
872	1825	265
873	1827	263
874	1829	261
875	1831	259
876	1833	257
877	1835	254
878	1837	252
879	1839	250
880	1840	248
881	1842	246
882	1844	244
883	1846	242
884	1848	240
885	1850	238
886	1852	235
887	1853	233
888	1855	231
889	1857	229
890	1860	227
891	1861	225
892	1863	223
893	1865	221
894	1867	219
895	1868	216
896	1870	214
897	1872	212
898	1874	210
899	1875	208
900	1877	206
901	1879	204
902	1881	202
903	1883	199
904	1885	197
905	1886	195
906	1888	193
907	1890	191
908	1891	189
909	1893	187
910	1895	185
911	1897	183
912	1898	180
913	1900	178
914	1902	176
915	1904	174
916	1906	172
917	1908	170
918	1910	168
919	1911	166
920	1913	164
921	1915	162
922	1917	159
923	1919	157
924	1921	155
925	1923	153
926	1924	151
927	1926	149
928	1928	147
929	1930	145
930	1932	143
931	1934	141
932	1935	139
933	1937	136
934	1939	134
935	1940	132
936	1942	130
937	1944	128
938	1946	126
939	1948	124
940	1950	122
941	1951	120
942	1953	118
943	1954	115
944	1956	113
945	1958	111
946	1960	109
947	1962	107
948	1964	105
949	1966	103
950	1967	101
951	1971	99
952	1973	97
953	1975	95
954	1976	93
955	1978	91
956	1979	88
957	1981	86
958	1983	84
959	1984	82
960	1986	80
961	1987	78
962	1989	76
963	1991	74
964	1993	72
965	1994	70
966	1996	68
967	1998	66
968	1999	63
969	2001	61
970	2003	59
971	2005	57
972	2007	55
973	2008	53
974	2010	51
975	2012	49
976	2013	47
977	2015	45
978	2016	43
979	2019	41
980	2021	39
981	2023	37
982	2024	35
983	2026	32
984	2028	30
985	2030	28
986	2031	26
987	2033	24
988	2035	22
989	2036	20
990	2038	18
991	2040	16
992	2041	14
993	2043	12
994	2045	10
995	2046	8
996	2048	6
997	2050	4
998	2052	2
999	2053	0
